tool_name,tool_counts,data_origin,year
Drupal,1.0,class_popularity,2023
Gephi,1.0,class_popularity,2023
Google Books,1.0,class_popularity,2023
Neatline,1.0,class_popularity,2023
Palladio,1.0,class_popularity,2023
Python,1.0,class_popularity,2023
Scalar,1.0,class_popularity,2023
Scholarly 3D toolkit,1.0,class_popularity,2023
Srophé App,1.0,class_popularity,2023
StoryMap.JS,1.0,class_popularity,2023
TEI,1.0,class_popularity,2023
Twitter,1.0,class_popularity,2023
Voyant,3.0,class_popularity,2023
WordPress,1.0,class_popularity,2023
Zotero,1.0,class_popularity,2023
TEI,202.0,conference_popularity,1996
TEI,53.0,conference_popularity,1997
TEI,98.0,conference_popularity,1998
TEI,404.0,conference_popularity,1999
Python,1.0,conference_popularity,2000
TEI,83.0,conference_popularity,2000
TEI,153.0,conference_popularity,2001
TEI,231.0,conference_popularity,2002
Python,3.0,conference_popularity,2003
TEI,183.0,conference_popularity,2003
Python,3.0,conference_popularity,2004
TEI,229.0,conference_popularity,2004
Python,2.0,conference_popularity,2005
TEI,232.0,conference_popularity,2005
TEI,219.0,conference_popularity,2006
Python,1.0,conference_popularity,2007
TEI,240.0,conference_popularity,2007
Zotero,1.0,conference_popularity,2007
Google Books,4.0,conference_popularity,2008
Python,2.0,conference_popularity,2008
TEI,224.0,conference_popularity,2008
Zotero,8.0,conference_popularity,2008
Drupal,4.0,conference_popularity,2009
Google Books,14.0,conference_popularity,2009
Python,7.0,conference_popularity,2009
TEI,225.0,conference_popularity,2009
Twitter,2.0,conference_popularity,2009
WordPress,10.0,conference_popularity,2009
Zotero,37.0,conference_popularity,2009
Drupal,4.0,conference_popularity,2010
Google Books,1.0,conference_popularity,2010
Neatline,2.0,conference_popularity,2010
Python,2.0,conference_popularity,2010
TEI,227.0,conference_popularity,2010
Twitter,20.0,conference_popularity,2010
WordPress,4.0,conference_popularity,2010
Zotero,5.0,conference_popularity,2010
Drupal,1.0,conference_popularity,2011
Gephi,6.0,conference_popularity,2011
Google Books,15.0,conference_popularity,2011
Python,3.0,conference_popularity,2011
TEI,186.0,conference_popularity,2011
Twitter,24.0,conference_popularity,2011
WordPress,4.0,conference_popularity,2011
Zotero,8.0,conference_popularity,2011
Drupal,13.0,conference_popularity,2012
Gephi,4.0,conference_popularity,2012
Google Books,24.0,conference_popularity,2012
Neatline,33.0,conference_popularity,2012
Python,6.0,conference_popularity,2012
Scalar,11.0,conference_popularity,2012
TEI,258.0,conference_popularity,2012
Twitter,7.0,conference_popularity,2012
Voyant,14.0,conference_popularity,2012
WordPress,4.0,conference_popularity,2012
Zotero,1.0,conference_popularity,2012
Drupal,21.0,conference_popularity,2013
Gephi,22.0,conference_popularity,2013
Google Books,10.0,conference_popularity,2013
Neatline,14.0,conference_popularity,2013
Python,17.0,conference_popularity,2013
Scalar,1.0,conference_popularity,2013
TEI,296.0,conference_popularity,2013
Twitter,31.0,conference_popularity,2013
Voyant,45.0,conference_popularity,2013
WordPress,6.0,conference_popularity,2013
Zotero,14.0,conference_popularity,2013
Drupal,13.0,conference_popularity,2014
Gephi,19.0,conference_popularity,2014
Google Books,6.0,conference_popularity,2014
Neatline,11.0,conference_popularity,2014
Python,16.0,conference_popularity,2014
Scalar,3.0,conference_popularity,2014
TEI,310.0,conference_popularity,2014
Twitter,27.0,conference_popularity,2014
Voyant,47.0,conference_popularity,2014
WordPress,6.0,conference_popularity,2014
Zotero,8.0,conference_popularity,2014
Drupal,1.0,conference_popularity,2015
Gephi,19.0,conference_popularity,2015
Google Books,18.0,conference_popularity,2015
Neatline,1.0,conference_popularity,2015
Palladio,17.0,conference_popularity,2015
Python,16.0,conference_popularity,2015
Scalar,2.0,conference_popularity,2015
TEI,864.0,conference_popularity,2015
Twitter,32.0,conference_popularity,2015
Voyant,43.0,conference_popularity,2015
WordPress,4.0,conference_popularity,2015
Zotero,3.0,conference_popularity,2015
Drupal,28.0,conference_popularity,2016
Gephi,48.0,conference_popularity,2016
Google Books,25.0,conference_popularity,2016
Neatline,8.0,conference_popularity,2016
Palladio,3.0,conference_popularity,2016
Python,44.0,conference_popularity,2016
Scalar,3.0,conference_popularity,2016
TEI,492.0,conference_popularity,2016
Twitter,76.0,conference_popularity,2016
Voyant,20.0,conference_popularity,2016
WordPress,5.0,conference_popularity,2016
Zotero,7.0,conference_popularity,2016
Drupal,8.0,conference_popularity,2017
Gephi,48.0,conference_popularity,2017
Google Books,12.0,conference_popularity,2017
Neatline,8.0,conference_popularity,2017
Palladio,3.0,conference_popularity,2017
Python,64.0,conference_popularity,2017
Scalar,8.0,conference_popularity,2017
TEI,308.0,conference_popularity,2017
Twitter,111.0,conference_popularity,2017
Voyant,37.0,conference_popularity,2017
WordPress,11.0,conference_popularity,2017
Zotero,9.0,conference_popularity,2017
Drupal,6.0,conference_popularity,2018
Gephi,21.0,conference_popularity,2018
Google Books,12.0,conference_popularity,2018
Neatline,4.0,conference_popularity,2018
Palladio,4.0,conference_popularity,2018
Python,94.0,conference_popularity,2018
Scalar,9.0,conference_popularity,2018
TEI,331.0,conference_popularity,2018
Twitter,133.0,conference_popularity,2018
Voyant,10.0,conference_popularity,2018
WordPress,7.0,conference_popularity,2018
Zotero,5.0,conference_popularity,2018
Drupal,6.0,conference_popularity,2019
Gephi,31.0,conference_popularity,2019
Google Books,10.0,conference_popularity,2019
Neatline,1.0,conference_popularity,2019
Palladio,2.0,conference_popularity,2019
Python,88.0,conference_popularity,2019
Scalar,5.0,conference_popularity,2019
TEI,593.0,conference_popularity,2019
Twitter,30.0,conference_popularity,2019
Voyant,12.0,conference_popularity,2019
WordPress,6.0,conference_popularity,2019
Zotero,6.0,conference_popularity,2019
Drupal,9.0,conference_popularity,2020
Gephi,15.0,conference_popularity,2020
Google Books,5.0,conference_popularity,2020
Palladio,1.0,conference_popularity,2020
Python,55.0,conference_popularity,2020
TEI,166.0,conference_popularity,2020
Twitter,66.0,conference_popularity,2020
Voyant,9.0,conference_popularity,2020
WordPress,1.0,conference_popularity,2020
Zotero,3.0,conference_popularity,2020
Drupal,4.0,conference_popularity,2022
Gephi,19.0,conference_popularity,2022
Google Books,5.0,conference_popularity,2022
Python,73.0,conference_popularity,2022
Scalar,2.0,conference_popularity,2022
TEI,199.0,conference_popularity,2022
Twitter,32.0,conference_popularity,2022
Voyant,30.0,conference_popularity,2022
WordPress,5.0,conference_popularity,2022
Zotero,6.0,conference_popularity,2022
Drupal,1.0,blog_popularity,2015
Gephi,11.0,blog_popularity,2015
Google Books,6.0,blog_popularity,2015
Neatline,1.0,blog_popularity,2015
Palladio,3.0,blog_popularity,2015
Python,9.0,blog_popularity,2015
StoryMapJS,0.0,blog_popularity,2015
Twitter,10.0,blog_popularity,2015
Voyant Tools,3.0,blog_popularity,2015
WordPress,3.0,blog_popularity,2015
Zotero,2.0,blog_popularity,2015
Drupal,6.0,blog_popularity,2016
Gephi,16.0,blog_popularity,2016
Google Books,8.0,blog_popularity,2016
Neatline,2.0,blog_popularity,2016
Palladio,3.0,blog_popularity,2016
Python,22.0,blog_popularity,2016
StoryMapJS,0.0,blog_popularity,2016
Twitter,18.0,blog_popularity,2016
Voyant Tools,3.0,blog_popularity,2016
WordPress,4.0,blog_popularity,2016
Zotero,3.0,blog_popularity,2016
Drupal,5.0,blog_popularity,2017
Gephi,14.0,blog_popularity,2017
Google Books,8.0,blog_popularity,2017
Neatline,2.0,blog_popularity,2017
Palladio,3.0,blog_popularity,2017
Python,27.0,blog_popularity,2017
StoryMapJS,0.0,blog_popularity,2017
Twitter,26.0,blog_popularity,2017
Voyant Tools,6.0,blog_popularity,2017
WordPress,4.0,blog_popularity,2017
Zotero,5.0,blog_popularity,2017
Drupal,2.0,blog_popularity,2018
Gephi,10.0,blog_popularity,2018
Google Books,4.0,blog_popularity,2018
Neatline,3.0,blog_popularity,2018
Palladio,4.0,blog_popularity,2018
Python,32.0,blog_popularity,2018
StoryMapJS,1.0,blog_popularity,2018
Twitter,16.0,blog_popularity,2018
Voyant Tools,3.0,blog_popularity,2018
WordPress,4.0,blog_popularity,2018
Zotero,3.0,blog_popularity,2018
Drupal,5.0,blog_popularity,2019
Gephi,9.0,blog_popularity,2019
Google Books,5.0,blog_popularity,2019
Neatline,1.0,blog_popularity,2019
Palladio,2.0,blog_popularity,2019
Python,35.0,blog_popularity,2019
StoryMapJS,0.0,blog_popularity,2019
Twitter,12.0,blog_popularity,2019
Voyant Tools,2.0,blog_popularity,2019
WordPress,5.0,blog_popularity,2019
Zotero,1.0,blog_popularity,2019
